,age,age_onset,birthplace,english_learning_method,english_residence,file_present,filename,length_of_english_residence,native_language,sex,speakerid
319,29,21,"popayan, cauca, colombia",academic,usa,TRUE,spanish52,3,spanish,female,777
320,22,0,"tampa, florida, usa",naturalistic,usa,TRUE,english231,22,english,male,791
321,26,0,"edmonton, alberta, canada",naturalistic,canada,TRUE,english233,26,english,female,793
322,49,0,"bloomington, indiana, usa",naturalistic,usa,TRUE,english234,49,english,male,794
323,52,0,"richmond, virginia, usa",naturalistic,usa,TRUE,english235,52,english,female,795
324,26,13,"wuhan, hubei, china",academic,canada,TRUE,mandarin17,2,mandarin,male,796
325,33,6,"bogota, colombia",academic,usa,TRUE,spanish53,1.2,spanish,male,797
326,32,0,"metairie, louisiana, usa",naturalistic,usa,TRUE,english232,32,english,female,798
327,44,0,"st. charles, illinois, usa",naturalistic,usa,TRUE,english236,34,english,male,799
328,25,18,"vina del mar, chile",academic,usa,TRUE,spanish54,1,spanish,male,800
329,22,0,"jeffersonville, ohio, usa",naturalistic,usa,TRUE,english237,22,english,female,801
330,21,0,"vancouver, british  columbia, canada",naturalistic,canada,TRUE,english238,21,english,female,802
331,19,0,"fort kobbe, panama",naturalistic,usa,TRUE,english239,18,english,male,803
332,36,9,"tandil, argentina",academic,usa,TRUE,spanish55,3.2,spanish,male,810
333,26,0,"guelph, ontario, canada",naturalistic,canada,TRUE,english240,26,english,male,815
334,52,0,"wanganui, new zealand",naturalistic,new zealand,TRUE,english241,29,english,female,817
335,77,0,"laurel, mississippi, usa",naturalistic,usa,TRUE,english242,77,english,female,818
336,27,0,"fredericton, new brunswick, canada",naturalistic,canada,TRUE,english243,27,english,male,820
337,23,0,"san francisco, california, usa",naturalistic,usa,TRUE,english244,13,english,male,821
338,25,0,"pittsburgh, pennsylvania, usa",naturalistic,usa,TRUE,english245,22,english,male,824
339,32,0,"los angeles, california, usa",naturalistic,usa,TRUE,english246,32,english,male,825
340,33,0,"prince rupert, british columbia, canada",naturalistic,canada,TRUE,english247,25,english,male,835
341,22,8,"monterrey, mexico",academic,,TRUE,spanish56,0,spanish,male,838
342,18,0,"philadelphia, pennsylvania, usa",naturalistic,usa,TRUE,english248,18,english,female,840
343,29,0,"boston, massachusetts, usa",naturalistic,usa,TRUE,english249,29,english,female,850
344,19,0,"chester, england, uk",naturalistic,uk,TRUE,english250,19,english,male,852
345,21,0,"mt. kisco, new york, usa",naturalistic,usa,TRUE,english251,21,english,male,855
346,25,0,"san jose ca, california, usa",naturalistic,usa,TRUE,english252,25,english,female,856
347,21,0,"dublin, ireland",naturalistic,ireland,TRUE,english253,21,english,male,857
348,39,0,"eugene, oregon, usa",naturalistic,usa,TRUE,english254,39,english,male,858
349,24,0,"oamaru, new zealand",naturalistic,new zealand,TRUE,english255,24,english,female,859
350,23,0,"laurinburg, north carolina, usa",naturalistic,usa,TRUE,english256,23,english,male,861
351,24,0,"san diego, california, usa",naturalistic,usa,TRUE,english257,24,english,male,863
352,24,0,"kilkenny, ireland",naturalistic,ireland,TRUE,english258,23,english,male,869
353,23,0,"singapore, singapore",naturalistic,singapore,TRUE,english259,23,english,male,870
354,18,0,"phoenix, arizona, usa",naturalistic,usa,TRUE,english260,18,english,female,871
355,29,13,"taoyuan, taiwan",academic,,TRUE,mandarin18,0,mandarin,female,872
356,59,0,"forestville, maryland, usa",naturalistic,usa,TRUE,english261,59,english,female,875
357,60,0,"naylor, maryland, usa",naturalistic,usa,TRUE,english262,60,english,male,876
358,21,0,"oak forest, illinois, usa",naturalistic,usa,TRUE,english263,21,english,male,884
359,33,11,"montevideo, uruguay",academic,"ireland, usa",TRUE,spanish57,6,spanish,male,886
360,21,0,"freemont, california, usa",naturalistic,usa,TRUE,english264,21,english,male,889
361,31,0,"vancouver wa, washington, usa",naturalistic,usa,TRUE,english265,27,english,male,890
362,18,0,"san diego, california, usa",,usa,TRUE,english266,18,english,male,899
363,66,0,"leeds, uk",naturalistic,uk,TRUE,english267,66,english,male,900
364,67,0,"leeds, uk",naturalistic,uk,TRUE,english268,67,english,female,901
365,22,0,"adelaide, australia",naturalistic,"australia, uk, usa",TRUE,english269,22,english,female,902
366,29,0,"cape town, south africa",naturalistic,south africa,TRUE,english270,29,english,male,903
367,32,0,"cape town, south africa",naturalistic,south africa,TRUE,english271,32,english,female,904
368,20,0,"dallas, texas, usa",naturalistic,usa,TRUE,english272,20,english,male,905
369,31,18,"bogota, colombia",academic,usa,TRUE,spanish58,2,spanish,male,906
370,46,0,"blue bell, pennsylvania, usa",naturalistic,usa,TRUE,english273,46,english,male,907
371,31,5,"mayaguez, puerto rico",naturalistic,usa,TRUE,spanish59,26,spanish,female,908
372,25,0,"sydney, australia",naturalistic,australia,TRUE,english274,25,english,female,909
373,20,0,"clifton, new jersey, usa",naturalistic,usa,TRUE,english275,20,english,female,912
374,18,9,"santiago-dr, dominican republic",naturalistic,usa,TRUE,spanish60,10,spanish,female,915
375,27,13,"qinzhou, guangxi, china",academic,australia,TRUE,mandarin19,0.33,mandarin,male,916
376,50,0,"chattanooga, tennessee, usa",naturalistic,usa,TRUE,english276,50,english,female,918
377,48,0,"hudson, new york, usa",naturalistic,usa,TRUE,english277,42,english,female,919
378,23,10,"abu dhabi, united arab emirates",academic,,TRUE,arabic22,0,arabic,female,920
379,18,0,"augusta, georgia, usa",naturalistic,usa,TRUE,english278,18,english,female,921
380,30,0,"singapore, singapore",naturalistic,singapore,TRUE,english279,30,english,female,922
381,67,39,"azuaga, spain",naturalistic,usa,TRUE,spanish61,30,spanish,male,924
382,63,19,"buenos aires, argentina",academic,usa,TRUE,spanish62,41,spanish,female,925
383,42,13,"al mahalla, egypt",academic,usa,TRUE,arabic23,8,arabic,male,927
384,40,12,"ping tong, taiwan",academic,usa,TRUE,mandarin20,5,mandarin,female,931
385,19,0,"ramsey, isle of man",naturalistic,isle of man,TRUE,english280,19,english,female,935
386,23,0,"ramsey mn, minnesota, usa",naturalistic,usa,TRUE,english281,23,english,male,937
387,20,0,"tampa, florida, usa",naturalistic,usa,TRUE,english282,20,english,male,939
388,18,0,"pelham, new york, usa",naturalistic,usa,TRUE,english283,18,english,male,951
389,33,0,"gainesville, florida, usa",naturalistic,usa,TRUE,english284,33,english,male,952
390,32,10,"la coruna, spain",academic,"uk, usa",TRUE,spanish63,4,spanish,female,959
391,50,0,"melbourne, australia",naturalistic,"australia, hong kong, usa",TRUE,english285,50,english,male,961
392,28,12,"medellin, colombia",academic,,TRUE,spanish64,0,spanish,male,962
393,40,7,"cairo, egypt",academic,uk,TRUE,arabic24,3,arabic,male,970
394,21,0,"beaumont, texas, usa",naturalistic,usa,TRUE,english286,21,english,female,977
395,27,0,"singapore, singapore",naturalistic,singapore,TRUE,english287,27,english,female,981
396,26,0,"st. louis, missouri, usa",naturalistic,usa,TRUE,english288,26,english,female,982
397,19,0,"fairfax, virginia, usa",naturalistic,usa,TRUE,english289,19,english,female,983
398,38,9,"chengdu, sichuan, china",academic,usa,TRUE,mandarin21,13,mandarin,female,984
399,20,0,"duluth, georgia, usa",naturalistic,usa,TRUE,english290,20,english,male,986
400,38,5,"ramun, israel (occupied territory)",naturalistic,usa,TRUE,arabic25,33,arabic,male,1011
401,43,14,"amman, jordan",academic,usa,TRUE,arabic26,28,arabic,female,1012
402,70,10,"jerusalem, israel",academic,usa,TRUE,arabic27,30,arabic,male,1013
403,39,11,"haikou, hainan, china",academic,usa,TRUE,mandarin22,3,mandarin,female,1019
404,18,0,"belize city, belize",naturalistic,"belize, usa",TRUE,english291,18,english,male,1026
405,46,13,"kao-hsiung, taiwan",academic,usa,TRUE,mandarin23,22,mandarin,female,1044
406,38,0,"kansas city, missouri, usa",naturalistic,usa,TRUE,english292,38,english,male,1051
407,22,0,"billings, montana, usa",naturalistic,usa,TRUE,english293,22,english,female,1052
408,19,0,"naracoorte, australia",naturalistic,"australia, usa",TRUE,english294,19,english,female,1060
409,25,0,"airdrie, alberta, canada",naturalistic,canada,TRUE,english295,25,english,male,1067
410,32,12,"barranquilla, colombia",naturalistic,usa,TRUE,spanish65,20,spanish,male,1069
411,18,0,"edmonton, alberta, canada",naturalistic,canada,TRUE,english296,18,english,female,1070
412,19,0,"lindenhurst, new york, usa",naturalistic,usa,TRUE,english297,19,english,male,1071
413,22,0,"lismore, new south wales, australia",naturalistic,australia,TRUE,english298,22,english,male,1072
414,59,0,"windsor, ontario, canada",naturalistic,usa,TRUE,english299,59,english,male,1075
415,18,0,"dublin, ireland",naturalistic,ireland,TRUE,english300,18,english,male,1076
416,30,12,"san salvador, el salvador",naturalistic,canada,TRUE,spanish66,18,spanish,male,1077
417,41,0,"toronto, ontario, canada",naturalistic,canada,TRUE,english301,41,english,male,1078
418,22,0,"melbourne, australia",naturalistic,australia,TRUE,english302,22,english,male,1085
419,45,0,"anaheim, california, usa",naturalistic,usa,TRUE,english303,45,english,female,1086
420,20,0,"clare, ireland",naturalistic,ireland,TRUE,english304,20,english,female,1088
421,21,10,"shanghai, china",academic,,TRUE,mandarin24,0,mandarin,female,1089
422,24,0,"london, uk",naturalistic,"uk, usa",TRUE,english306,24,english,female,1093
423,24,0,"la paz, bolivia",naturalistic,"uk, usa",TRUE,english305,7,english,female,1094
424,48,0,"alexandria, va, usa",naturalistic,"usa, new zealand",TRUE,english307,48,english,male,1100
425,34,0,"cardiff, wales, uk",naturalistic,"uk, new zealand",TRUE,english308,34,english,male,1101
426,44,0,"dunedin, new zealand",naturalistic,new zealand,TRUE,english309,44,english,female,1105
427,37,0,"oxford, uk",naturalistic,"uk, usa",TRUE,english310,22,english,female,1108
428,38,0,"detroit, michigan, usa",naturalistic,usa,TRUE,english311,38,english,female,1110
429,48,14,"santa marta, colombia",academic,usa,TRUE,spanish67,4,spanish,female,1111
430,40,0,"edmonton, alberta, canada",naturalistic,canada,TRUE,english312,40,english,female,1113
431,30,12,"al-ayn, united arab emirates",academic,usa,TRUE,arabic28,1,arabic,male,1115
432,19,17,"doha, qatar",academic,usa,TRUE,arabic29,0.3,arabic,male,1116
433,28,0,"silver spring, maryland, usa",naturalistic,usa,TRUE,english313,28,english,male,1119
434,26,0,"memphis, tennessee, usa",naturalistic,usa,TRUE,english314,26,english,female,1120
435,25,0,"los angeles, california, usa",naturalistic,usa,TRUE,english315,25,english,male,1121
436,33,0,"sacramento, california, usa",naturalistic,usa,TRUE,english316,33,english,male,1122
437,28,13,"wuxi, jiangsu, china",academic,usa,TRUE,mandarin25,0.8,mandarin,female,1125
438,26,0,"burlington, vermont, usa",naturalistic,usa,TRUE,english317,26,english,male,1132
439,19,8,"riyadh, saudi arabia",naturalistic,usa,TRUE,arabic30,11,arabic,female,1133
440,46,0,"sarnia, ontario, canada",naturalistic,canada,TRUE,english318,46,english,male,1137
441,29,0,"grimsby, lincolnshire, uk",naturalistic,uk,TRUE,english319,29,english,male,1138
442,31,12,"emei, sichuan, china",academic,usa,TRUE,mandarin26,3,mandarin,female,1141
443,18,15,"chengdu, sichuan, china",academic,usa,TRUE,mandarin27,3,mandarin,male,1154
444,59,0,"maryland county, liberia",naturalistic,"liberia, usa",TRUE,english320,59,english,female,1162
445,52,0,"brooklyn, new york, usa",naturalistic,usa,TRUE,english321,52,english,male,1163
446,29,0,"yorkton, saskatchewan, canada",naturalistic,canada,TRUE,english322,29,english,male,1172
447,31,0,"regina, saskatchewan, canada",naturalistic,canada,TRUE,english323,31,english,female,1173
448,28,0,"st. marys, ontario, canada",naturalistic,canada,TRUE,english324,28,english,male,1174
449,32,0,"reading, pennsylvania, usa",naturalistic,usa,TRUE,english325,32,english,male,1176
450,,,,,,,,,,,1179
451,47,12,"baghdad, iraq",academic,usa,TRUE,arabic31,0.3,arabic,female,1181
452,53,0,"fairborn, ohio, usa",naturalistic,usa,TRUE,english326,50,english,male,1188
453,42,12,"baghdad, iraq",academic,usa,TRUE,arabic32,16,arabic,male,1203
454,28,11,"baghdad, iraq",academic,usa,TRUE,arabic33,0.3,arabic,female,1204
455,27,0,"dunedin, florida, usa",naturalistic,usa,TRUE,english327,27,english,male,1205
456,23,0,"hollywood, florida, usa",naturalistic,usa,TRUE,english328,23,english,female,1206
457,21,0,"boise, idaho, usa",naturalistic,usa,TRUE,english329,19,english,female,1207
458,18,0,"augusta, georgia, usa",naturalistic,usa,TRUE,english330,18,english,female,1208
459,28,0,"perth, australia",naturalistic,australia,TRUE,english331,28,english,female,1209
460,20,0,"baltimore, maryland, usa",naturalistic,usa,TRUE,english332,20,english,female,1212
461,32,0,"spokane, washington, usa",naturalistic,usa,TRUE,english333,29,english,female,1214
462,18,0,"derby, england, uk",naturalistic,uk,TRUE,english334,18,english,female,1215
463,6,0,"washington, district of columbia, usa",naturalistic,usa,TRUE,english335,6,english,male,1216
464,46,0,"baltimore, maryland, usa",naturalistic,usa,TRUE,english336,44,english,female,1217
465,84,0,"jersey city, new jersey, usa",naturalistic,"usa, canada",TRUE,english337,84,english,female,1218
466,53,0,"sydney, australia",naturalistic,"australia, canada",TRUE,english338,53,english,female,1219
467,54,0,"chicago, illinois, usa",naturalistic,"usa, canada",TRUE,english339,54,english,male,1220
468,19,0,"charleston, west virginia, usa",naturalistic,usa,TRUE,english340,19,english,male,1222
469,23,0,"new york, new york, usa",naturalistic,usa,TRUE,english341,23,english,female,1224
470,33,0,"kansas city, missouri, usa",naturalistic,usa,TRUE,english342,33,english,male,1225
471,23,0,"portland, maine, usa",naturalistic,usa,TRUE,english343,23,english,male,1226
472,27,14,"san fernando, chile",academic,australia,TRUE,spanish68,0.8,spanish,male,1227
473,20,7,"caracas, venezuela",naturalistic,usa,TRUE,spanish69,10,spanish,female,1229
474,30,10,"bogota, colombia",academic,usa,TRUE,spanish70,1.5,spanish,female,1230
475,24,6,"rosario, argentina",academic,,TRUE,spanish71,0,spanish,male,1231
476,19,0,"lumberton, north carolina, usa",naturalistic,usa,TRUE,english344,19,english,female,1232
477,20,0,"kansas city, missouri, usa",naturalistic,usa,TRUE,english345,20,english,male,1233
478,60,0,"east hartford, connecticut, usa",naturalistic,usa,TRUE,english346,60,english,male,1235
479,22,0,"burnsville, minnesota, usa",naturalistic,usa,TRUE,english347,22,english,female,1236
480,20,0,"las pinas, philippines",naturalistic,philippines,TRUE,english348,20,english,female,1237
481,20,5,"miami, florida, usa",naturalistic,usa,TRUE,spanish72,20,spanish,female,1238
482,24,0,"warrenton, virginia, usa",naturalistic,usa,TRUE,english349,24,english,female,1239
483,19,15,"merida, venezuela",academic,uk,TRUE,spanish73,0.1,spanish,male,1240
484,18,0,"polesworth, staffordshire, uk",naturalistic,uk,TRUE,english350,18,english,female,1241
485,37,0,"carthage, missouri, usa",naturalistic,usa,TRUE,english351,37,english,male,1242
486,25,0,"singapore, singapore",naturalistic,singapore,TRUE,english352,25,english,male,1243
487,18,0,"saskatoon, saskatchewan, canada",naturalistic,canada,TRUE,english353,18,english,male,1246
488,44,14,"zaragoza, spain",academic,,TRUE,spanish74,0,spanish,male,1249
489,23,0,"christchurch, new zealand",naturalistic,"new zealand, ireland, uk, usa",TRUE,english354,22,english,female,1250
490,34,6,"kuwait city, kuwait",academic,usa,TRUE,arabic34,4,arabic,female,1253
491,19,0,"los angeles, california, usa",naturalistic,usa,TRUE,english355,19,english,male,1256
492,23,0,"morden, manitoba, canada",naturalistic,canada,TRUE,english356,23,english,female,1257
493,24,0,"alto, georgia, usa",naturalistic,usa,TRUE,english357,24,english,male,1258
494,19,0,"fredericton, new brunswick, canada",naturalistic,canada,TRUE,english358,19,english,male,1259
495,28,5,"lima, peru",academic,usa,TRUE,spanish75,8,spanish,female,1273
496,32,0,"sackville, new brunswick, canada",naturalistic,"canada, usa",TRUE,english359,32,english,male,1276
497,19,0,"erie, pennsylvania, usa",naturalistic,usa,TRUE,english360,19,english,female,1277
498,20,0,"burnsville, minnesota, usa",naturalistic,usa,TRUE,english361,20,english,female,1280
499,21,0,"cork, ireland",naturalistic,ireland,TRUE,english362,21,english,male,1281
500,20,0,"castle donington, uk",naturalistic,uk,TRUE,english363,20,english,male,1287
501,28,0,"sydney, australia",naturalistic,australia,TRUE,english364,24,english,female,1288
502,27,10,"la paz, bolivia",academic,uk,TRUE,spanish76,4,spanish,male,1290
503,52,0,"oxford, uk",naturalistic,uk,TRUE,english365,52,english,male,1292
504,25,0,"bournesmouth, uk",naturalistic,uk,TRUE,english366,25,english,female,1293
505,25,0,"birkenhead, uk",naturalistic,uk,TRUE,english367,23,english,female,1294
506,43,0,"strattford-on-avon, uk",naturalistic,"uk, singapore",TRUE,english368,43,english,male,1295
507,27,0,"mcminnville, oregon, usa",naturalistic,usa,TRUE,english369,27,english,male,1297
508,45,13,"jalisco, mexico",academic,usa,TRUE,spanish77,2,spanish,male,1301
509,22,0,"pondicherry, india",naturalistic,"canada, ireland",TRUE,english370,16,english,male,1302
510,27,0,"colorado springs, colorado, usa",naturalistic,"usa, canada",TRUE,english371,27,english,female,1303
511,80,0,"christiansburg, virginia, usa",naturalistic,usa,TRUE,english372,80,english,male,1307
512,22,0,"russellville, kentucky, usa",naturalistic,usa,TRUE,english373,22,english,male,1308
513,36,0,"milford haven, wales, uk",naturalistic,uk,TRUE,english374,36,english,male,1310
514,28,0,"manchester, connecticut, usa",naturalistic,"usa, uk",TRUE,english375,28,english,male,1312
515,46,0,"pasadena, california, usa",naturalistic,usa,TRUE,english376,46,english,male,1315
516,32,0,"trenton, michigan, usa",naturalistic,usa,TRUE,english377,32,english,female,1319
517,38,0,"silver spring, maryland, usa",naturalistic,usa,TRUE,english378,38,english,female,1320
518,43,0,"summit, new jersey, usa",naturalistic,usa,TRUE,english379,43,english,male,1321
519,34,0,"roanoke, virginia, usa",naturalistic,usa,TRUE,english380,33,english,female,1323
520,85,0,"pike county, kentucky, usa",naturalistic,usa,TRUE,english381,85,english,male,1324
521,34,0,"arlington, virginia, usa",naturalistic,usa,TRUE,english382,29,english,male,1325
522,32,0,"washington, district of columbia, usa",naturalistic,usa,TRUE,english383,22,english,female,1326
523,57,0,"williamson, west virginia, usa",naturalistic,usa,TRUE,english384,57,english,male,1327
524,77,0,"mcveigh, kentucky, usa",naturalistic,usa,TRUE,english385,77,english,female,1328
525,56,0,"los angeles, california, usa",naturalistic,usa,TRUE,english386,56,english,female,1330
526,21,0,"lancaster, california, usa",naturalistic,usa,TRUE,english387,21,english,female,1331
527,70,0,"bluefield, west virginia, usa",naturalistic,usa,TRUE,english388,70,english,female,1332
528,71,0,"aldie, virginia, usa",naturalistic,usa,TRUE,english389,71,english,female,1333
529,74,0,"milwaukee, wisconsin, usa",naturalistic,usa,TRUE,english390,67,english,male,1334
530,84,0,"milton, florida, usa",naturalistic,usa,TRUE,english391,84,english,female,1335
531,62,0,"warrenton, virginia, usa",naturalistic,usa,TRUE,english392,62,english,male,1336
532,58,0,"washington, district of columbia, usa",naturalistic,usa,TRUE,english393,58,english,female,1337
533,55,5,"lima, peru",academic,usa,TRUE,spanish78,16,spanish,female,1338
534,82,0,"aiken, south carolina, usa",naturalistic,usa,TRUE,english394,82,english,female,1339
535,39,0,"alexandria, virginia, usa",naturalistic,usa,TRUE,english395,39,english,male,1340
536,48,0,"orange, virginia, usa",naturalistic,usa,TRUE,english396,48,english,female,1341
537,76,0,"wadesboro, north carolina, usa",naturalistic,usa,TRUE,english397,76,english,female,1342
538,83,0,"salisbury, north carolina, usa",naturalistic,usa,TRUE,english398,83,english,female,1343
539,70,22,"lamas, peru",academic,usa,TRUE,spanish79,41,spanish,female,1344
540,80,0,"la grange, georgia, usa",naturalistic,usa,TRUE,english399,80,english,female,1345
541,77,75,"bogota, colombia",naturalistic,usa,TRUE,spanish80,12,spanish,female,1346
542,63,7,"san juan, puerto rico",academic,usa,TRUE,spanish81,2.5,spanish,female,1347
543,59,0,"shanklin, isle of wight, uk",naturalistic,canada,TRUE,english400,55,english,female,1348
544,26,0,"lucerne, switzerland",naturalistic,australia,TRUE,english401,26,english,male,1349
545,26,0,"canberra, australia",naturalistic,australia,TRUE,english402,26,english,female,1350
546,29,0,"sydney, australia",naturalistic,australia,TRUE,english403,29,english,female,1351
547,29,0,"windsor, australia",naturalistic,australia,TRUE,english404,29,english,male,1352
548,32,0,"geelong, australia",naturalistic,"australia, usa",TRUE,english405,30,english,female,1353
549,24,0,"pensacola, florida, usa",naturalistic,usa,TRUE,english406,24,english,female,1358
550,47,0,"windsor, ontario, canada",naturalistic,canada,TRUE,english407,47,english,male,1360
551,64,0,"lynwood, california, usa",naturalistic,usa,TRUE,english408,64,english,male,1361
552,60,0,"maitland, australia",naturalistic,australia,TRUE,english409,60,english,female,1362
553,35,0,"hamilton, new zealand",naturalistic,"New Zealand, Australia",TRUE,english410,35,english,male,1363
554,26,0,"washington, district of columbia, usa",naturalistic,usa,TRUE,english411,26,english,female,1371
555,31,0,"washington, district of columbia, usa",naturalistic,usa,TRUE,english412,25,english,female,1372
556,20,0,"manchester, england, uk",naturalistic,uk,TRUE,english413,20,english,female,1373
557,30,0,"woonsocket, rhode island, usa",naturalistic,usa,TRUE,english414,30,english,female,1374
558,32,0,"woonsocket, rhode island, usa",naturalistic,usa,TRUE,english415,32,english,male,1375
559,34,0,"sydney, australia",naturalistic,"australia, usa",TRUE,english416,20,english,male,1377
560,20,0,"cardiff, wales, uk",naturalistic,uk,TRUE,english417,20,english,female,1380
561,29,0,"arlington, virginia",naturalistic,usa,TRUE,english418,29,english,male,1384
562,27,0,"youngstown, ohio, usa",naturalistic,usa,TRUE,english419,27,english,male,1385
563,21,0,"auckland, new zealand",naturalistic,new zealand,TRUE,english420,21,english,male,1387
564,38,0,"landstuhl, germany",naturalistic,usa,TRUE,english421,25,english,male,1388
565,31,0,"rochester, new york, usa",naturalistic,usa,TRUE,english422,31,english,male,1390
566,56,16,"jiddah, saudi arabia",naturalistic,usa,TRUE,arabic35,33,arabic,male,1391
567,36,6,"jiddah, saudi arabia",academic,"usa, uk",TRUE,arabic36,6,arabic,male,1392
568,19,9,"shady grove, maryland, usa",academic,usa,TRUE,arabic38,12,arabic,female,1394
569,24,0,"baltimore, maryland, usa",naturalistic,usa,TRUE,english423,24,english,female,1395
570,49,14,"la paz, bolivia",academic,usa,TRUE,spanish82,12,spanish,male,1396
571,48,14,"la paz, bolivia",academic,usa,TRUE,spanish83,1.4,spanish,male,1397
572,19,4,"buenos aires, argentina",academic,usa,TRUE,spanish84,0.2,spanish,female,1398
573,44,6,"buenos aires, argentina",academic,,TRUE,spanish85,0,spanish,female,1399
574,23,4,"buenos aires, argentina",academic,,TRUE,spanish86,0,spanish,male,1400
575,55,9,"la paz, bolivia",academic,"usa, ireland",TRUE,spanish87,2.2,spanish,male,1401
576,53,25,"la paz, bolivia",naturalistic,usa,TRUE,spanish88,29,spanish,male,1402
577,22,5,"jiddah, saudi arabia",academic,usa,TRUE,arabic39,2,arabic,male,1405
578,75,0,"danville, virginia, usa",naturalistic,usa,TRUE,english424,75,english,male,1409
579,31,0,"danville, virginia, usa",naturalistic,usa,TRUE,english425,31,english,male,1410
580,30,0,"florence, south carolina, usa",naturalistic,usa,TRUE,english426,30,english,female,1411
581,68,0,"hanover, pennsylvania, usa",naturalistic,usa,TRUE,english427,68,english,female,1412
582,55,0,"kingstree, south carolina, usa",naturalistic,usa,TRUE,english428,55,english,female,1413
583,19,0,"philadelphia, pennsylvania, usa",naturalistic,usa,TRUE,english429,19,english,female,1416
584,23,0,"melbourne, australia",naturalistic,australia,TRUE,english430,23,english,female,1419
585,19,13,"jiddah, saudi arabia",academic,usa,TRUE,arabic40,0.1,arabic,male,1420
586,25,7,"riyadh, saudi arabia",academic,usa,TRUE,arabic41,1.5,arabic,male,1421
587,21,13,"jiddah, saudi arabia",academic,usa,TRUE,arabic42,0.5,arabic,male,1422
588,23,0,"green bay, wisconsin, usa",naturalistic,usa,TRUE,english431,23,english,female,1423
589,22,13,"monterrey, mexico",academic,usa,TRUE,spanish89,9,spanish,male,1425
590,29,8,"beirut, lebanon",academic,,TRUE,arabic43,0,arabic,female,1426
591,22,0,"dublin, ireland",naturalistic,ireland,TRUE,english432,21,english,female,1428
592,32,0,"gladwin, michigan, usa",naturalistic,usa,TRUE,english433,32,english,female,1430
593,23,3,"caracas, venezuela",naturalistic,usa,TRUE,spanish90,2,spanish,female,1431
594,20,7,"caracas, venezuela",naturalistic,usa,TRUE,spanish91,10,spanish,female,1433
595,54,9,"cardenas, cuba",naturalistic,usa,TRUE,spanish92,45,spanish,male,1435
596,29,18,"santa rosa, honduras",naturalistic,usa,TRUE,spanish93,11,spanish,female,1436
597,19,6,"bogota, colombia",academic,usa,TRUE,spanish94,11,spanish,male,1439
598,31,21,"juarez, mexico",naturalistic,usa,TRUE,spanish95,10,spanish,female,1444
599,45,15,"shanghai, china",academic,usa,TRUE,mandarin28,20,mandarin,male,1447
600,29,12,"arequipa, peru",academic,usa,TRUE,spanish96,4.25,spanish,female,1449
601,52,19,"bogota, colombia",academic,usa,TRUE,spanish97,17.5,spanish,female,1450
602,34,29,"veracruz, mexico",naturalistic,usa,TRUE,spanish98,5,spanish,male,1451
603,29,7,"jiddah, saudi arabia",academic,usa,TRUE,arabic44,0.6,arabic,female,1455
604,32,12,"fort collins, colorado, usa",naturalistic,usa,TRUE,arabic45,0.5,arabic,female,1456
605,28,13,"jiddah, saudi arabia",academic,"uk, usa",TRUE,arabic46,1,arabic,male,1457
606,39,16,"jiddah, saudi arabia",academic,usa,TRUE,arabic47,0.75,arabic,male,1458
607,29,12,"mecca, saudi arabia",academic,usa,TRUE,arabic48,1,arabic,male,1459
608,26,8,"medina, saudi arabia",academic,usa,TRUE,arabic49,1,arabic,male,1460
609,36,22,"jiddah, saudi arabia",academic,usa,TRUE,arabic50,0.75,arabic,male,1461
610,24,0,"kansas city, kansas, usa",naturalistic,usa,TRUE,english434,24,english,male,1469
611,20,0,"palm springs, california, usa",naturalistic,usa,TRUE,english435,17,english,female,1471
612,19,0,"freeport, the bahamas",naturalistic,the bahamas,TRUE,english436,19,english,female,1475
613,21,0,"cleveland, ohio, usa",naturalistic,usa,TRUE,english437,21,english,male,1477
614,23,12,"jiddah, saudi arabia",academic,usa,TRUE,arabic51,4,arabic,male,1486
615,21,9,"jiddah, saudi arabia",academic,usa,TRUE,arabic52,5,arabic,female,1487
616,24,4,"lanzhou, gansu, china",academic,,TRUE,mandarin29,0,mandarin,male,1490
617,27,13,"taipei, taiwan",academic,usa,TRUE,mandarin30,1,mandarin,male,1491
618,20,0,"houston, texas, usa",naturalistic,usa,TRUE,english438,20,english,female,1492
619,18,0,"richmond, british columbia, canada",naturalistic,canada,TRUE,english439,18,english,female,1493
620,22,0,"glasgow, scotland, uk",naturalistic,scotland,TRUE,english440,22,english,female,1502
621,20,4,"lima, peru",academic,usa,TRUE,spanish99,1.5,spanish,female,1506
622,30,26,"iquitos, peru",academic,usa,TRUE,spanish100,8,spanish,female,1508
623,26,13,"wenzhou, zhejiang, china",academic,usa,TRUE,mandarin31,2.5,mandarin,female,1519
624,19,0,"oquawka, illinois, usa",naturalistic,usa,TRUE,english441,19,english,female,1524
625,36,17,"rabat, morocco",academic,usa,TRUE,arabic53,12,arabic,male,1526
626,23,12,"taipei, taiwan",academic,usa,TRUE,mandarin32,2,mandarin,female,1527
627,23,0,"salisbury mills, new york, usa",naturalistic,usa,TRUE,english442,23,english,male,1528
628,31,0,"fort collins, colorado, usa",naturalistic,usa,TRUE,english443,31,english,male,1530
629,24,0,"anniston, alabama, usa",naturalistic,usa,TRUE,english444,24,english,male,1531
630,60,0,"san francisco, california, usa",naturalistic,usa,TRUE,english445,59,english,male,1532
631,23,0,"moorhead, minnesota, usa",naturalistic,usa,TRUE,english446,23,english,female,1533
